,办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,日平均在线窗口数,前台人数,评价率,满意率
149,24413240400,5.88,1,0,8.34,22,4,0,2,7,79.41,100
150,24413240200,3.55,0,0.32,10.79,7,3,0.1,3,11,5.58,100
151,24413240900,9.19,3,0.45,12.96,20,17,0.4,4,9,2.73,100
152,24413240100,0.2,13,0.26,1.63,325,41,0,3,1,0.18,100
153,24413240100,3,7,1.13,5.54,257,74,5.9,9,19,0.45,100
154,24413241000,59.38,1,0,50.22,1,2,0,2,9,0,0
155,24413240600,7.58,1,0.55,7.49,28,4,0.9,2,9,71.48,100
156,24452240000,4.34,7,0.44,6.8,232,28,3.5,4,9,82.75,100
157,24452240400,25,2,0.11,13.48,45,3,0.3,2,6,71.88,100
158,24452212300,0.72,2,4.21,1.91,14,7,3.2,4,3,29.5,100
159,24452212500,6.38,2,2.64,6.38,8,4,1.6,2,2,80.85,100
160,24452211600,24.62,1,0.14,42.04,38,3,0.2,3,5,12.31,100
161,24452220800,7.14,2,0.2,7.44,25,5,0,3,6,61.9,100
162,24452220200,5,3,0.49,4.59,72,9,1.4,3,4,61.67,100
163,24452810900,60,1,0,118.66,10,3,0,2,14,90,100
164,24452810100,13.62,2,0.16,17.47,289,16,1.1,5,12,82.09,100
165,24452020400,8.09,10,1.26,8.71,480,85,14.9,9,11,41.47,100
166,24452020000,1.9,3,2.44,2.9,10,5,1.3,2,2,48.57,100
167,24452020300,11.17,9,0.85,11.1,240,43,12.5,5,11,55.33,100
168,24452020100,9.09,2,3.37,4.93,3,3,0.1,2,2,72.73,100
169,24452970001,28.09,4,0.11,40.18,104,3,1.2,1,4,76.4,100
170,24452960001,13.02,4,0.37,12.5,91,6,1.6,2,4,89.06,100
171,24414231300,0,0,0.74,0,28,5,0.1,1,9,2.04,100
172,24414239000,17.57,17,0.86,16.92,606,148,20,5,26,12.48,100
173,24414231100,0,0,1.02,0,20,3,1,1,7,10,100
174,24414231200,0,1,1.1,0,15,3,1.2,1,7,67.86,100
175,24414231600,0,0,0.31,0,61,9,2.1,1,8,4.86,100
176,24414231500,0,0,0.13,0,170,7,1.9,2,9,56.72,100
177,24414240100,0,0,0,0,1103,3,0,1,9,60,100
178,24414249000,41.99,22,1.08,26.33,608,179,17.9,8,17,3.46,100
179,24414240400,0,1,0.48,0,65,15,1.7,1,5,1.25,100
180,24414240300,0,1,0.42,0,34,3,0.7,2,4,59.09,100
181,24414240200,0,0,0,0,78,2,0,1,7,42.86,100
182,24414240800,0,1,0.01,0,137,3,0.1,1,5,52.81,100
183,24414240500,0,1,0,0,0,1,0,1,7,0,0
184,24414810600,0,1,0.5,0,124,30,1.6,1,9,1.38,100
185,24414819000,56.4,19,0.38,51.95,1051,304,3.3,9,31,0.31,100
186,24414810200,0,1,0.01,0,1,2,0,1,5,0,0
187,24414810300,0,1,0.35,0,74,5,3,1,5,53.19,100
188,24414810400,0,1,0.46,0,143,17,10,1,4,12.24,100
189,24414229000,26.42,22,0.54,15.72,1031,214,18.5,6,24,19.53,100
190,24414220400,0,1,0.33,0,27,5,0.3,2,7,8.88,100
191,24414220200,0,1,0.3,0,58,8,2.2,2,6,88.17,100
192,24414220500,0,1,0.24,0,155,19,6.1,1,7,5.14,100
193,24414220300,0,0,0.33,0,84,13,2.1,2,9,79.74,100
194,24414260200,0,1,0.41,0,43,5,0.5,1,5,54.3,100
195,24414269000,1.22,14,0.59,1.89,473,121,8.2,6,33,6.98,100
196,24414260600,0,1,0.12,0,18,3,0.1,1,5,72.73,100
197,24414210300,0,0,0.16,0,55,10,0.3,2,8,64.26,100
198,24414210800,28.44,15,1.15,20.15,422,77,28.3,4,10,0.74,100
199,24414210200,0,0,0.25,0,72,7,2.8,2,9,69.13,100
200,24414219000,5.3,26,0.81,10.4,518,176,12.4,6,25,0.01,100
201,24414210900,0,1,0.23,0,57,6,2,1,5,19.87,100
202,24414210400,0,1,0.11,0,52,3,0.7,1,6,8.57,100
203,24414210700,0,0,0.69,0,21,6,1.1,2,6,80.83,100
204,24414020000,53.23,26,0.7,34.93,4074,547,29.3,19,58,1.52,99.9
205,24414960004,0,1,0.07,0,46,2,0.2,1,2,93.2,100
206,24414279000,7.39,14,0.78,10.01,627,162,4.5,7,19,0.73,100
207,24405141100,24.47,1,0.18,34.32,116,6,0.3,3,10,64.98,100
208,24405131000,25.86,5,0.87,21.86,180,40,8,7,19,67.4,100
209,24405151200,10.37,3,0.85,14.21,338,58,4.8,11,21,9.56,100
210,24405121500,25.12,2,0.6,21.31,72,9,1.8,2,12,65.38,100
211,24405071400,5.17,7,0.76,8.21,191,111,2.8,13,43,5.54,100
212,24415910100,8.68,4,0.64,9.21,223,33,1.5,5,13,71.24,100
213,24415910200,8.04,17,0.68,8.46,546,133,4,7,17,47.65,99.99
214,24415210100,6.83,7,0.51,6.65,732,92,3.4,9,17,1.45,100
215,24415210000,20,2,0,17.17,0,5,0,4,3,40,100
216,24415812200,8.59,5,1.73,11.9,363,62,2.6,6,20,25.02,100
217,24415210000,50,2,0,34.05,0,2,0,,8,100,100
218,24415210000,0,2,0.05,1.28,1,4,0,3,4,0,0
219,24415210000,16.67,2,0,7.25,1,2,0,2,3,16.67,100
220,24415210000,0,1,0,6.98,0,1,0,2,3,0,0
221,24415210000,100,2,0,21.92,12,2,0,,6,0,0
222,24415210000,25,1,0,14.55,0,4,0,4,4,75,100
223,24415230100,5.23,4,0.36,7.45,325,33,2.8,3,17,0.34,100
224,24407818100,45.9,16,1.32,26.47,996,155,22.3,14,41,70.77,100
225,24407830200,23.78,15,2.28,19.52,543,285,24.5,13,95,23.32,99.99
226,24407851600,0,0,1.67,0,59,7,1.3,2,7,53.85,100
227,24407851500,0,0,0,0,15,11,0,4,4,17.65,100
228,24407851500,0,0,0,0,29,4,0,2,3,71.43,100
229,24407850100,31.9,9,1.27,20.82,894,136,23.2,12,31,93.61,99.97
230,24407850300,0,0,0,0,8,10,0,2,5,34.21,100
231,24407850200,0,1,0.03,0,51,4,1.2,1,4,80.65,100
232,24407851300,0,0,0,0,27,4,0,3,6,33.33,100
233,24407851300,0,0,0,0,10,4,0,1,4,42.86,100
234,24407851400,0,0,1.71,0,12,8,3.4,2,5,78,100
235,24407824000,26.78,20,0.45,20.64,3519,369,20.1,15,42,78.05,100
236,24407041009,10.67,15,1.27,10.94,522,172,16.4,9,27,22.71,99.98
237,24407031100,34.79,19,1.36,23.25,826,150,24.1,9,12,4.54,99.88
238,24407030800,62.57,13,1.19,34.67,310,55,14.9,3,6,11.82,100
239,24407030600,23.47,18,0.82,15.01,351,65,28.4,3,4,12.73,100
240,,33.33,0,0.4,24.65,1,3,0,4,36,50,100
241,24407840300,37.47,13,0.8,26.33,1585,222,37.4,9,31,93.28,100
242,24416251200,6.62,6,3.01,9.56,106,71,24.6,4,12,69.71,100
243,24416250200,20,5,0.51,15.61,16,18,2.1,2,5,74.29,100
244,24416250300,3.13,2,2.34,5.01,9,6,2.4,3,6,40.63,100
245,24416250500,19.57,1,1.79,14.73,7,5,3.2,3,5,30.43,100
246,24416240400,18.75,2,1.29,13.96,4,3,0.2,2,3,62.5,100
247,24416240100,5.41,6,6.38,7.75,41,43,11.1,7,11,38.61,100
248,24416240600,133.33,2,0,71.13,0,3,0,3,4,100,100
249,24416020200,98.28,8,6.96,53.4,7,8,5.5,4,3,15.25,100
250,24416020019,44.51,23,1.42,27.95,928,211,-165.8,10,19,1.1,100
